60000 90000
33490 59827 0.5
12045 50180 0.5
43149 2270 0.5
5504 12821 0.25
49143 47720 1.0
48207 34463 0.5
40596 51084 0.5
23148 23491 1.0
18499 1643 0.5
50821 24520 0.5
13390 26055 0.25
19667 31626 0.3333333333333333
47588 18588 0.5
32341 3578 0.3333333333333333
17798 30109 0.25
17500 10856 0.5
15990 50652 0.5
55376 58056 1.0
2939 27145 0.3333333333333333
52530 55845 0.5
34582 37500 0.5
23814 19438 0.5
58449 31250 0.3333333333333333
5437 38813 0.5
32955 26488 0.5
15644 1644 0.3333333333333333
59422 59491 1.0
43746 21309 0.2
24784 48551 0.5
29578 8433 0.3333333333333333
17284 34694 0.5
58899 39497 1.0
21953 52096 0.5
32304 24569 0.3333333333333333
8424 44650 0.2
58612 57970 0.25
13411 967 0.5
54670 9850 0.5
18644 4208 0.3333333333333333
34402 30379 0.3333333333333333
3769 47015 0.2
56484 14117 0.5
48188 42673 0.5
56517 53885 0.3333333333333333
8035 25170 0.5
56995 44601 1.0
18545 29680 0.25
15146 28803 0.25
34700 37833 0.3333333333333333
26285 45466 0.5
58666 15682 0.5
45441 53967 0.5
35977 4908 0.5
25868 59458 1.0
20070 34647 0.3333333333333333
26220 28837 0.2
51907 1398 0.25
14880 39196 1.0
8011 14983 0.2
56073 16301 0.5
22172 4871 0.5
49858 25959 0.5
30974 27154 0.5
28465 43161 0.3333333333333333
6360 53116 0.5
40302 50782 1.0
18885 8668 0.5
1898 50997 0.25
58392 46734 0.5
22364 49140 0.2
31554 20402 1.0
6608 56135 0.3333333333333333
12818 10573 1.0
12681 16615 0.3333333333333333
30040 46340 0.5
56909 42954 0.3333333333333333
44394 1997 0.5
37836 27264 0.3333333333333333
19170 10021 0.5
53176 39160 0.5
15728 10006 0.3333333333333333
10092 28108 0.25
3566 57711 1.0
52741 21716 1.0
50426 48796 1.0
2013 55352 0.25
49663 36045 0.5
38483 23755 0.5
12333 12286 1.0
32751 46363 0.25
56993 13765 0.5
28499 40178 1.0
53054 48735 0.5
37154 18577 1.0
19084 48265 0.3333333333333333
54124 6980 1.0
15124 43438 0.3333333333333333
16299 8595 0.5
7689 35613 1.0
58880 1983 1.0
4998 17209 0.25
22734 58803 0.5
27692 3277 0.5
22936 43785 0.25
37378 41286 0.5
38738 44270 0.25
19557 21774 0.5
4214 34808 1.0
4359 15253 0.5
5367 20763 0.25
8937 45156 0.3333333333333333
5757 34549 0.125
53300 451 0.5
7279 59296 0.2
23648 46974 0.25
59386 9036 0.3333333333333333
52148 41783 1.0
41258 46767 1.0
24562 36548 1.0
23570 30033 0.25
30979 34438 1.0
44423 1613 0.5
44559 31534 1.0
43411 39147 0.16666666666666666
8009 45654 1.0
50262 37948 0.25
39867 49234 0.3333333333333333
54014 50575 1.0
35988 32039 0.5
13366 10413 0.2
29819 31131 0.3333333333333333
11274 3787 0.5
31453 38019 0.5
42833 44342 0.3333333333333333
47156 34965 0.3333333333333333
52196 18124 0.3333333333333333
49248 59010 0.3333333333333333
34793 51046 0.3333333333333333
18176 42787 0.5
6543 2794 1.0
44122 35897 0.25
39972 33313 0.3333333333333333
31496 15862 0.5
11322 35952 0.5
26360 1070 1.0
37499 30857 0.3333333333333333
59752 2218 0.3333333333333333
37741 30029 0.5
2288 31400 0.3333333333333333
11999 54590 0.5
48775 22297 0.3333333333333333
32046 24465 0.5
16256 39585 0.5
35447 53853 0.5
11723 25614 0.3333333333333333
8764 32471 0.5
33090 18088 0.3333333333333333
34965 52261 0.3333333333333333
4962 30086 0.5
34673 40531 1.0
28384 38913 1.0
3233 46696 1.0
50941 27366 0.5
21581 38199 0.2
30343 53164 0.5
32010 8196 0.25
14601 17002 1.0
37415 37828 0.5
22122 5576 0.5
45296 9744 0.5
53383 42413 0.25
33688 26513 0.5
15523 41131 1.0
53609 57911 0.3333333333333333
22724 23127 1.0
3697 23656 1.0
29103 8550 1.0
24083 48223 0.3333333333333333
34885 37574 0.5
21994 26782 0.5
34112 58864 0.5
24970 40929 0.5
9383 17425 1.0
18413 11890 0.3333333333333333
19856 12932 0.3333333333333333
2538 8490 0.5
24839 32484 0.5
6295 23631 0.5
116 27162 1.0
36712 3728 0.5
33223 38783 1.0
24467 22377 0.25
329 28690 0.25
42101 34519 0.5
3962 17010 0.2
37815 50081 0.3333333333333333
17264 11584 0.3333333333333333
32439 24630 1.0
48221 38152 0.3333333333333333
48535 7693 0.3333333333333333
51526 40093 0.5
11033 9418 0.25
27393 29942 0.2
25819 8990 0.3333333333333333
19538 20959 0.25
40040 48922 0.3333333333333333
7861 48631 0.5
2272 5767 1.0
8588 25838 0.5
4353 27095 0.5
44726 31030 0.25
28156 49608 0.16666666666666666
25615 50139 0.14285714285714285
18102 30452 0.5
4768 38451 0.2
25244 59815 0.3333333333333333
50250 29659 0.3333333333333333
22921 1459 0.5
56694 35616 1.0
37947 3111 0.3333333333333333
7734 8428 1.0
8602 28314 0.3333333333333333
6522 26537 0.3333333333333333
44717 25832 0.25
27428 55269 0.5
24483 1681 1.0
41264 17655 0.5
27352 40488 0.25
57741 12662 0.25
41710 37878 0.3333333333333333
13536 49319 0.25
4578 53119 0.3333333333333333
27362 19574 0.25
9469 2832 0.5
32326 23334 0.5
36976 38758 0.5
7065 46534 1.0
42330 31451 0.5
49870 17991 1.0
44698 37687 0.5
22999 44203 0.25
30999 57260 0.5
35881 36832 0.3333333333333333
53765 20105 0.3333333333333333
38396 49711 0.5
49255 1601 0.5
8376 30549 0.5
40456 59687 0.3333333333333333
30276 54019 0.5
32447 46725 1.0
7013 48067 0.2
24312 7793 1.0
38465 53346 0.3333333333333333
55127 37185 0.25
29542 25985 0.5
30333 23787 1.0
42525 11601 1.0
24470 23706 0.5
24992 52309 1.0
27744 42182 0.5
41164 10989 0.3333333333333333
11738 22727 0.25
26683 21388 0.3333333333333333
39264 17385 0.25
24743 41390 0.5
55496 34790 0.25
20158 36154 0.5
34090 9688 0.5
51751 10864 0.3333333333333333
3098 17883 0.25
1863 15828 0.3333333333333333
39341 57741 0.5
40876 28862 0.25
38292 15028 0.2
19025 18352 0.25
27206 46044 0.5
38997 39000 1.0
14612 9542 0.3333333333333333
275 30694 0.25
59411 24944 0.3333333333333333
5634 41823 1.0
3484 3893 0.3333333333333333
29763 13754 1.0
14818 3219 0.25
38757 45464 0.5
34966 32261 0.5
55458 30230 0.3333333333333333
51920 26618 0.3333333333333333
47825 31766 0.5
4926 58998 0.5
38120 37036 0.5
45776 46754 0.25
45756 57367 0.5
8263 8686 0.5
26052 42961 0.5
17345 54550 0.5
26599 59850 0.5
54009 40310 0.25
17290 5371 0.5
4319 43538 0.3333333333333333
31791 21945 0.2
10460 56100 0.5
50185 7551 0.5
45591 38096 0.5
56795 19671 0.25
13143 19282 0.25
47354 18775 1.0
23583 26102 0.5
33600 19638 0.5
15881 50681 0.25
16661 29990 0.5
57577 21545 0.3333333333333333
24354 20275 0.3333333333333333
42319 51535 0.3333333333333333
20689 14202 0.5
48119 21191 0.3333333333333333
44615 38620 0.3333333333333333
54493 55324 0.5
48469 18880 0.3333333333333333
47791 45174 0.25
571 34866 0.3333333333333333
20514 2030 0.25
49842 12316 0.3333333333333333
20758 9436 0.3333333333333333
53488 16446 0.5
18055 5424 1.0
34721 34303 1.0
32742 28428 0.25
32547 29894 0.3333333333333333
42915 25185 0.5
53567 29655 0.3333333333333333
11 25204 0.3333333333333333
11136 48154 0.5
1172 37482 1.0
49872 775 0.5
10625 31638 0.25
18796 38956 0.5
28978 14020 0.3333333333333333
6964 40702 1.0
14174 3625 0.25
59432 3632 0.5
31922 40781 1.0
33308 17250 0.5
41620 58900 0.5
16214 20643 1.0
54609 10618 0.25
33695 57758 1.0
6188 34970 0.5
7806 29856 0.3333333333333333
50808 4965 0.3333333333333333
17041 41691 1.0
37404 14364 0.5
49994 6279 0.14285714285714285
25494 23957 0.5
3477 46554 1.0
38991 15589 1.0
53035 33381 0.5
24689 5926 1.0
39112 57727 0.25
226 46806 0.5
41876 27614 0.3333333333333333
28913 32288 0.2
57731 49841 0.5
54690 56992 0.25
24925 27258 0.3333333333333333
50749 49891 0.3333333333333333
22040 4966 1.0
20554 41504 0.25
45852 17562 0.5
20240 23902 0.5
20047 11723 0.25
59804 53632 1.0
58378 17514 0.25
39097 58728 0.5
20850 11442 0.5
36797 21621 0.5
10277 55081 0.5
43318 35234 1.0
17337 34584 1.0
58513 47836 1.0
5671 57556 0.5
43687 5458 0.5
58960 59281 0.25
1209 46375 0.25
50431 238 0.25
12619 12800 0.3333333333333333
46320 40946 0.3333333333333333
58924 6649 0.5
13524 7320 0.25
19951 23284 1.0
16197 55479 0.5
22328 29212 0.3333333333333333
9628 21408 0.25
7776 29018 1.0
54068 11340 1.0
17605 48164 1.0
17446 33844 0.16666666666666666
30655 36619 0.5
22795 13373 0.3333333333333333
40649 9888 1.0
40003 41128 0.5
7048 7747 1.0
49823 48198 0.3333333333333333
4111 25778 0.5
34214 55930 0.5
9474 29507 0.5
38191 50587 0.3333333333333333
28982 10978 0.3333333333333333
16976 34217 0.3333333333333333
33582 2923 0.5
33727 32097 0.5
21159 49728 1.0
13176 2575 1.0
26525 19688 1.0
29337 23538 1.0
41967 39384 0.3333333333333333
38559 48307 0.3333333333333333
11100 18568 1.0
37720 57881 0.5
7351 55397 0.5
45161 55805 0.5
53494 28730 1.0
4005 57815 1.0
33655 22519 0.3333333333333333
44508 54960 0.3333333333333333
51734 37587 0.3333333333333333
42922 42205 0.3333333333333333
53809 4617 0.5
58115 15595 0.3333333333333333
40075 17674 1.0
28592 29588 0.5
34846 32064 0.5
42999 16995 1.0
25232 39282 0.5
41714 23119 1.0
19076 2753 0.3333333333333333
18726 40388 0.5
15203 22395 0.3333333333333333
50852 2205 0.3333333333333333
57251 23911 0.3333333333333333
5997 59141 0.25
57595 11505 1.0
7561 627 0.5
51235 58187 1.0
5106 39252 0.5
22234 16776 0.3333333333333333
316 40067 0.5
29238 48546 0.16666666666666666
49838 28474 0.25
24222 30713 0.3333333333333333
43666 37795 0.5
37749 42759 0.2
34885 28775 1.0
51040 37793 0.3333333333333333
52459 5478 1.0
