60000 120000
27316 18818 1.0
43331 22841 0.5
38736 35282 0.3333333333333333
22657 48067 0.16666666666666666
46671 8567 0.2
8695 36056 0.5
41310 43436 1.0
37769 31728 0.3333333333333333
10265 24049 0.3333333333333333
36343 16321 1.0
38357 26307 0.5
1675 43640 1.0
11413 47139 0.5
29080 47115 0.5
51757 30792 0.3333333333333333
44056 31501 0.5
13308 55791 0.3333333333333333
21275 16919 0.5
33463 22796 0.3333333333333333
53867 5172 0.2
8323 22022 1.0
27691 7000 0.3333333333333333
49440 55162 0.3333333333333333
19975 1298 0.2
58224 52756 0.3333333333333333
48922 26598 0.2
50739 7431 0.5
33994 40139 0.5
31961 4043 0.5
10618 53972 0.5
49969 7218 0.25
51099 35058 0.5
12256 56319 0.2
59470 45373 0.5
45997 3828 0.5
22771 49814 0.3333333333333333
14515 40709 1.0
24080 14548 1.0
18962 35646 0.5
25653 24293 0.5
55535 32144 0.25
24108 31647 0.5
56602 14678 0.25
24090 34092 1.0
42033 8574 0.25
55408 54336 1.0
53774 23684 0.5
38877 6441 0.16666666666666666
32421 27637 0.2
26307 27885 0.16666666666666666
31944 17196 0.2
11136 23688 0.25
5138 2453 0.5
50568 59340 0.5
39349 26368 0.3333333333333333
29902 966 1.0
39586 50756 0.2
59771 8967 0.5
16924 43419 0.5
43732 56563 1.0
33609 13334 0.3333333333333333
57351 13733 0.16666666666666666
25353 52618 0.25
23734 8479 0.3333333333333333
4504 56137 1.0
13466 14163 0.3333333333333333
31737 44015 0.3333333333333333
29738 20233 0.3333333333333333
8539 42811 0.3333333333333333
46296 41962 0.25
7403 18924 0.2
4567 29160 0.3333333333333333
28495 57595 0.25
31515 51309 0.3333333333333333
31089 26757 0.25
24061 49085 0.5
29092 38264 0.5
46214 9479 0.16666666666666666
43936 27069 0.5
52970 41423 0.25
56809 11596 0.25
23206 1219 0.3333333333333333
45978 55434 0.3333333333333333
43546 27887 1.0
55202 3944 0.25
51624 55295 0.2
7277 2226 0.5
18703 19833 0.5
16280 25226 1.0
1724 2213 0.3333333333333333
2560 1353 0.3333333333333333
19878 23043 0.5
32970 59918 0.3333333333333333
20335 13884 0.5
21143 30217 0.2
31579 15963 0.2
49637 19188 0.3333333333333333
15257 17851 0.3333333333333333
44808 55586 0.5
27976 35727 0.3333333333333333
17571 56527 0.16666666666666666
31776 5145 0.5
1186 52852 0.5
37810 26992 0.5
57897 12796 0.5
40539 47619 0.25
59435 1855 0.3333333333333333
44597 32049 0.5
30691 53568 0.5
15319 44916 0.25
4097 9852 0.25
1214 4068 0.3333333333333333
27835 4132 0.5
42688 17172 0.25
23495 10877 0.16666666666666666
18697 22684 0.25
55678 57753 0.2
48282 42973 0.16666666666666666
3622 43346 0.25
53973 45537 0.25
32772 51047 0.2
43632 1037 0.5
34435 18280 0.5
16864 5052 0.5
47526 20604 1.0
40620 10766 0.3333333333333333
30856 39598 0.25
23063 59659 0.2
53608 44029 1.0
11936 33098 0.2
3282 38736 0.3333333333333333
45339 38861 0.5
9038 11969 0.5
23782 43696 0.5
57524 44409 0.25
18703 33784 0.5
21941 56467 1.0
42252 29234 0.5
39509 35667 1.0
733 16175 1.0
41625 18708 0.5
15121 52883 0.16666666666666666
46957 18645 0.25
59994 22516 0.5
44116 27611 0.3333333333333333
49206 27779 0.5
31172 1308 1.0
53849 14431 1.0
8296 29839 0.5
59209 25698 0.3333333333333333
9828 18092 0.3333333333333333
8966 1187 0.3333333333333333
23200 58864 0.5
14242 53414 1.0
16162 40959 0.16666666666666666
25123 3817 0.5
43644 9921 0.2
19077 31968 0.25
47539 13006 1.0
25279 13022 0.5
13616 39775 0.5
35446 57481 0.3333333333333333
32874 55441 0.3333333333333333
56719 38985 0.3333333333333333
43670 7188 0.2
15030 15026 0.25
19887 53748 0.5
40285 49150 1.0
24924 9677 0.5
44628 20674 0.5
57061 29539 0.5
